"athlete_display_name","game_date","game_number","cumulative_points"
"Diana Taurasi",2006-05-20,1,14
"Diana Taurasi",2006-05-25,2,42
"Diana Taurasi",2006-05-31,3,70
"Diana Taurasi",2006-06-02,4,86
"Diana Taurasi",2006-06-06,5,116
"Diana Taurasi",2006-06-09,6,138
"Diana Taurasi",2006-06-13,7,170
"Diana Taurasi",2006-06-16,8,205
"Diana Taurasi",2006-06-18,9,228
"Diana Taurasi",2006-06-21,10,254
"Diana Taurasi",2006-06-23,11,275
"Diana Taurasi",2006-06-25,12,289
"Diana Taurasi",2006-06-28,13,302
"Diana Taurasi",2006-06-30,14,321
"Diana Taurasi",2006-07-02,15,343
"Diana Taurasi",2006-07-06,16,356
"Diana Taurasi",2006-07-08,17,381
"Diana Taurasi",2006-07-09,18,417
"Diana Taurasi",2006-07-14,19,451
"Diana Taurasi",2006-07-16,20,480
"Diana Taurasi",2006-07-18,21,487
"Diana Taurasi",2006-07-19,22,505
"Diana Taurasi",2006-07-22,23,532
"Diana Taurasi",2006-07-25,24,559
"Diana Taurasi",2006-07-27,25,600
"Diana Taurasi",2006-07-28,26,625
"Diana Taurasi",2006-07-30,27,649
"Diana Taurasi",2006-08-01,28,678
"Diana Taurasi",2006-08-03,29,703
"Diana Taurasi",2006-08-05,30,737
"Diana Taurasi",2006-08-08,31,758
"Diana Taurasi",2006-08-10,32,805
"Diana Taurasi",2006-08-12,33,831
"Diana Taurasi",2006-08-13,34,860
"A'ja Wilson",2024-05-14,1,30
"A'ja Wilson",2024-05-18,2,52
"A'ja Wilson",2024-05-21,3,73
"A'ja Wilson",2024-05-25,4,102
"A'ja Wilson",2024-05-29,5,131
"A'ja Wilson",2024-05-31,6,159
"A'ja Wilson",2024-06-05,7,195
"A'ja Wilson",2024-06-07,8,224
"A'ja Wilson",2024-06-09,9,255
"A'ja Wilson",2024-06-11,10,283
"A'ja Wilson",2024-06-13,11,315
"A'ja Wilson",2024-06-15,12,336
"A'ja Wilson",2024-06-19,13,363
"A'ja Wilson",2024-06-21,14,389
"A'ja Wilson",2024-06-27,15,420
"A'ja Wilson",2024-06-29,16,431
"A'ja Wilson",2024-07-02,17,459
"A'ja Wilson",2024-07-04,18,477
"A'ja Wilson",2024-07-05,19,512
"A'ja Wilson",2024-07-07,20,540
"A'ja Wilson",2024-07-10,21,564
"A'ja Wilson",2024-07-12,22,597
"A'ja Wilson",2024-07-14,23,625
"A'ja Wilson",2024-07-16,24,653
